month,year,trading_days,product_code,product_name,monthly_volume,month_num,adv,roll_month,mom_change_pct
Jan,2026,21,FBTP,Euro-BTP Futures,6925523,1,329786.8095238095,False,
Feb,2026,20,FBTP,Euro-BTP Futures,6560827,2,328041.35,False,-5.265970526702457
Mar,2026,22,FBTP,Euro-BTP Futures,14874569,3,676116.7727272727,True,126.71789699682678
Apr,2026,20,FBTP,Euro-BTP Futures,7190932,4,359546.6,False,-51.65619924852949
May,2026,20,FBTP,Euro-BTP Futures,6940933,5,347046.65,False,-3.4765869013919204
Jun,2026,22,FBTP,Euro-BTP Futures,8986823,6,408491.9545454545,True,29.475720339038
Jul,2026,23,FBTP,Euro-BTP Futures,7370311,7,320448.3043478261,False,-17.987580260565938
Aug,2026,21,FBTP,Euro-BTP Futures,5943926,8,283044.09523809527,False,-19.35311820627379
Jan,2026,21,FBTS,Short-Term Euro-BTP Futures,3290757,1,156702.7142857143,False,
Feb,2026,20,FBTS,Short-Term Euro-BTP Futures,2774791,2,138739.55,False,-15.67924948575662
Mar,2026,22,FBTS,Short-Term Euro-BTP Futures,8566656,3,389393.4545454545,True,208.73157654035927
Apr,2026,20,FBTS,Short-Term Euro-BTP Futures,3932821,4,196641.05,False,-54.09152649528591
May,2026,20,FBTS,Short-Term Euro-BTP Futures,4745174,5,237258.7,False,20.65573286961191
Jun,2026,22,FBTS,Short-Term Euro-BTP Futures,5702753,6,259216.04545454544,True,20.180060836546776
Jul,2026,23,FBTS,Short-Term Euro-BTP Futures,4312655,7,187506.7391304348,False,-24.37591107312556
Aug,2026,21,FBTS,Short Term Euro-BTP-Futures,3617085,8,172242.14285714287,False,-16.128579726409832
Jan,2026,21,FGBL,Euro-Bund Futures,23890208,1,1137628.9523809524,False,
Feb,2026,20,FGBL,Euro-Bund Futures,22204191,2,1110209.55,False,-7.057355884050908
Mar,2026,22,FGBL,Euro-Bund Futures,44248636,3,2011301.6363636365,True,99.28055924217188
Apr,2026,20,FGBL,Euro-Bund Futures,24160264,4,1208013.2,False,-45.39885026060464
May,2026,20,FGBL,Euro-Bund Futures,25793798,5,1289689.9,False,6.761242344040608
Jun,2026,22,FGBL,Euro-Bund Futures,31232336,6,1419651.6363636365,True,21.08467314507154
Jul,2026,23,FGBL,Euro-Bund Futures,24527592,7,1066417.043478261,False,-21.467315156957845
Aug,2026,21,FGBL,Euro-Bund Futures,21511028,8,1024334.6666666666,False,-12.298655326621544
Jan,2026,21,FGBM,Euro-Bobl Futures,18178728,1,865653.7142857143,False,
Feb,2026,20,FGBM,Euro-Bobl Futures,16930254,2,846512.7,False,-6.867774246911007
Mar,2026,22,FGBM,Euro-Bobl Futures,35973628,3,1635164.9090909092,True,112.48132485194846
Apr,2026,20,FGBM,Euro-Bobl Futures,18863999,4,943199.95,False,-47.56158872827617
May,2026,20,FGBM,Euro-Bobl Futures,19670873,5,983543.65,False,4.2773221096968905
Jun,2026,22,FGBM,Euro-Bobl Futures,24663864,6,1121084.7272727273,True,25.38266095256678
Jul,2026,23,FGBM,Euro-Bobl Futures,19199649,7,834767.3478260869,False,-22.15474023048457
Aug,2026,21,FGBM,Euro-Bobl Futures,20025601,8,953600.0476190476,False,4.3019119776616765
Jan,2026,21,FGBS,Euro-Schatz Futures,13913913,1,662567.2857142857,False,
Feb,2026,20,FGBS,Euro-Schatz Futures,13592438,2,679621.9,False,-2.310457166147295
Mar,2026,22,FGBS,Euro-Schatz Futures,41340528,3,1879114.9090909087,True,204.14358336598627
Apr,2026,20,FGBS,Euro-Schatz Futures,17870380,4,893519.0,False,-56.77273401055739
May,2026,20,FGBS,Euro-Schatz Futures,17269193,5,863459.65,False,-3.364153420352556
Jun,2026,22,FGBS,Euro-Schatz Futures,27183926,6,1235633.0,True,57.41283336169791
Jul,2026,23,FGBS,Euro-Schatz Futures,16988622,7,738635.7391304348,False,-37.50489903481933
Aug,2026,21,FGBS,Euro-Schatz Futures,14503247,8,690630.8095238095,False,-14.629644476167636
Jan,2026,21,FGBX,Euro-Buxl Futures,3488071,1,166098.61904761905,False,
Feb,2026,20,FGBX,Euro-Buxl Futures,3536736,2,176836.8,False,1.3951837562939495
Mar,2026,22,FGBX,Euro-Buxl Futures,6860550,3,311843.1818181818,True,93.97970331967105
Apr,2026,20,FGBX,Euro-Buxl Futures,3398439,4,169921.95,False,-50.46404442792487
May,2026,20,FGBX,Euro-Buxl Futures,3772257,5,188612.85,False,10.999697213926751
Jun,2026,22,FGBX,Euro-Buxl Futures,4506394,6,204836.0909090909,True,19.461478897116493
Jul,2026,23,FGBX,Euro-Buxl Futures,3446472,7,149846.60869565216,False,-23.520402343869616
Aug,2026,21,FGBX,Euro-Buxl® Futures,3754533,8,178787.2857142857,False,8.938444879285257
Jan,2026,21,FOAT,Euro-OAT Futures,5733432,1,273020.5714285714,False,
Feb,2026,20,FOAT,Euro-OAT Futures,5412480,2,270624.0,False,-5.597903663983461
Mar,2026,22,FOAT,Euro-OAT Futures,10670909,3,485041.3181818182,True,97.15378163060188
Apr,2026,20,FOAT,Euro-OAT Futures,5497170,4,274858.5,False,-48.48451992234214
May,2026,20,FOAT,Euro-OAT Futures,5726897,5,286344.85,False,4.179004833396083
Jun,2026,22,FOAT,Euro-OAT Futures,7870458,6,357748.0909090909,True,37.429711063425785
Jul,2026,23,FOAT,Euro-OAT Futures,6106179,7,265486.04347826086,False,-22.41647182413018
Aug,2026,21,FOAT,Euro-OAT-Futures,5523171,8,263008.14285714284,False,-9.547836707702151
