Deutsche Börse Group,,,,,,,,,,,,,,,,,,
Market Data & Analytics,,,,,,,,,,,,,,,,,,
Content Management & Production,,,,,,,,,,,,,,,,,,
Eurex,,,,,,,,,,,,,,,,,,
Daily Statistics,,,,,,,,,,,,,,,,,,
,,,,,Number of Trading Days,,,,,,,,,,,,,
09/04/2026,,,,,,,,,,,,,,,,,,
,,,,,Month:,Year:,,,,,,,,,,,,
,,,,,4,173,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Traded Contracts,Traded Contracts Flexible Products,Traded Contracts (month),Traded Contracts Flexible Products (month),Traded Contracts (year),Traded Contracts Flexible Products (year),Traded Contracts - avg (month),Traded Contracts - avg (year),P/C Ratio,Open Interest (prev Day),Volume in EUR,Volume in EUR (month),Volume in EUR (year),Open Interest in EUR (prev Day)
Equity Derivatives,,,,,,,,,,,,,,,,,,
,,,Euro-Bobl Futures,FGBM,"1,891,812",,"14,570,186",,"188,076,782",,"3,642,547","1,087,149",,"1,921,811","214,376,682,800","1,649,363,678,530","21,690,720,096,930","217,832,201,290"
,,,Euro-BTP Futures,FBTP,"634,806",,"3,312,663",,"68,106,507",,"828,166","393,679",,"661,824","72,784,219,340","379,477,811,570","8,052,101,041,610","75,663,212,710"
,,,Euro-Bund Futures,FGBL,"2,026,366",,"11,516,774",,"229,084,827",,"2,879,194","1,324,190",,"2,106,126","248,431,511,080","1,411,429,477,450","28,892,856,271,210","257,589,935,070"
,,,Euro-Buxl® Futures,FGBX,"406,464",,"2,547,357",,"35,310,809",,"636,839","204,109",,"460,628","41,910,213,040","262,214,206,840","3,834,071,250,120","47,320,190,880"
,,,Euro-EU Bond Futures,FBEU,,,142,,"13,291",,36,77,,107,,"16,830,120","1,614,708,990","12,704,810"
,,,Euro-OAT-Futures,FOAT,"725,021",,"4,652,867",,"57,193,563",,"1,163,217","330,599",,"918,128","83,419,286,340","534,943,245,930","6,825,273,117,120","105,412,185,100"
,,,Euro-Schatz Futures,FGBS,"1,718,237",,"15,543,758",,"178,206,005",,"3,885,940","1,030,093",,"2,643,073","180,765,209,275","1,634,689,759,640","18,886,839,182,620","277,881,048,230"
,,,Short Term Euro-BTP-Futures,FBTS,"387,910",,"2,020,052",,"38,962,744",,"505,013","225,218",,"408,038","41,052,094,040","213,808,425,095","4,151,701,699,965","43,098,399,750"
